evapo_et0,wind_gusts_max,tmax,rain_sum,radiation_sum,apparent_tmin,apparent_tmax,wind_dir_dominant,wind_speed_max,tmin,prcp,date,sunshine_duration,precip_hours,latitude,longitude
3.5700,42.5000,31.5000,6.1000,16.5200,29.0000,37.5000,284.0000,16.7000,24.0000,6.1000,2020-09-30,36662.1900,9.0000,9.2941,105.7278
3.5400,40.0000,30.9000,10.5000,16.5600,29.9000,37.0000,273.0000,15.1000,24.7000,10.5000,2020-10-01,31120.8200,8.0000,9.2941,105.7278
2.5500,32.8000,29.6000,23.1500,12.3400,28.7000,34.2000,256.0000,15.8000,24.1000,23.1500,2020-10-02,21506.8800,19.0000,9.2941,105.7278
2.9300,36.0000,30.2000,13.8000,14.4000,28.8000,35.0000,241.0000,17.8000,24.0000,13.8000,2020-10-03,37405.1700,16.0000,9.2941,105.7278
3.1100,38.9000,30.4000,14.5000,14.8500,27.9000,36.6000,261.0000,15.5000,23.8000,14.5000,2020-10-04,28477.2100,10.0000,9.2941,105.7278
2.6800,41.4000,31.6000,23.1500,12.5400,29.6000,37.7000,274.0000,18.2000,24.7000,23.1500,2020-10-05,16457.5900,15.0000,9.2941,105.7278
2.3900,35.6000,29.9000,8.0000,10.9400,29.2000,33.8000,258.0000,13.8000,24.6000,8.0000,2020-10-06,12239.0900,16.0000,9.2941,105.7278
2.0500,32.4000,28.9000,23.1500,9.8900,28.8000,34.4000,261.0000,15.2000,24.1000,23.1500,2020-10-07,20586.2900,18.0000,9.2941,105.7278
3.0300,42.1000,30.1000,6.6000,14.4200,29.2000,34.8000,231.0000,15.8000,24.3000,6.6000,2020-10-08,31343.0800,14.0000,9.2941,105.7278
2.0800,33.1000,28.9000,11.0000,9.9300,29.6000,33.9000,221.0000,15.0000,24.8000,11.0000,2020-10-09,12094.1625,20.0000,9.2941,105.7278
1.2600,26.6000,26.8000,23.1500,7.1850,28.8000,31.0000,251.0000,11.8000,24.2000,23.1500,2020-10-10,12094.1625,23.0000,9.2941,105.7278
2.1500,45.7000,28.4000,10.8000,10.3700,28.5000,33.0000,247.0000,20.0000,24.2000,10.8000,2020-10-11,14028.1000,19.0000,9.2941,105.7278
2.0800,46.8000,29.9000,23.1500,10.1200,27.8000,34.5000,261.0000,18.8000,24.1000,23.1500,2020-10-12,12094.1625,17.0000,9.2941,105.7278
1.2600,52.2000,26.8000,23.1500,7.1850,27.7000,31.1000,250.0000,23.1000,24.3000,23.1500,2020-10-13,12094.1625,23.0000,9.2941,105.7278
2.3600,59.7500,29.3000,12.8000,11.0000,27.8000,33.0000,249.0000,26.0000,24.0000,12.8000,2020-10-14,12503.7800,23.0000,9.2941,105.7278
1.7900,49.0000,27.8000,12.2000,8.2100,27.9000,31.3000,252.0000,18.8000,24.3000,12.2000,2020-10-15,12094.1625,21.0000,9.2941,105.7278
1.6700,45.0000,27.1000,13.7000,7.9700,28.4000,31.4000,245.0000,20.2000,24.4000,13.7000,2020-10-16,12094.1625,18.0000,9.2941,105.7278
3.0300,55.8000,30.1000,6.8000,14.5100,28.5000,35.0000,225.0000,17.5000,24.4000,6.8000,2020-10-17,22757.2800,18.0000,9.2941,105.7278
2.5500,41.0000,29.4000,11.8000,12.3600,29.2000,35.6000,229.0000,12.9000,24.3000,11.8000,2020-10-18,24692.3400,17.0000,9.2941,105.7278
3.6500,38.2000,30.8000,5.4000,17.1300,29.2000,35.4000,283.0000,15.9000,23.8000,5.4000,2020-10-19,32676.7500,14.0000,9.2941,105.7278
3.1500,35.6000,30.7000,17.2000,15.0100,29.7000,36.4000,292.0000,10.9000,24.3000,17.2000,2020-10-20,32353.0000,13.0000,9.2941,105.7278
3.2200,31.7000,30.4000,23.1500,15.3500,29.6000,36.6000,317.0000,13.5000,24.2000,23.1500,2020-10-21,29478.9200,17.0000,9.2941,105.7278
2.5600,31.0000,29.8000,23.1500,12.3300,28.6000,35.6000,272.0000,8.9000,23.8000,23.1500,2020-10-22,18205.8100,20.0000,9.2941,105.7278
2.0500,20.5000,29.0000,7.2000,9.5900,28.6000,36.3000,260.0000,9.4000,23.9000,7.2000,2020-10-23,12094.1625,14.0000,9.2941,105.7278
2.8600,27.4000,28.8000,10.9000,14.1200,29.0000,34.6000,178.0000,10.5000,23.8000,10.9000,2020-10-24,31711.7700,17.0000,9.2941,105.7278
3.3100,28.1000,30.1000,23.1500,16.3700,28.6000,36.3000,203.0000,10.0000,23.5000,23.1500,2020-10-25,35596.7100,16.0000,9.2941,105.7278
3.4800,34.2000,30.3000,6.7000,17.0300,28.3000,36.1000,273.0000,17.1000,23.5000,6.7000,2020-10-26,38906.3000,7.0000,9.2941,105.7278
4.2400,33.5000,30.9000,0.0000,18.5900,27.4000,35.1000,280.0000,16.9000,23.3000,0.0000,2020-10-27,37196.5400,0.0000,9.2941,105.7278
3.0400,53.3000,29.2000,3.3000,13.3800,28.4000,33.1000,261.0000,24.5000,24.9000,3.3000,2020-10-28,27687.4800,7.0000,9.2941,105.7278
2.7500,43.9000,28.8000,16.2000,13.5500,28.6000,33.6000,237.0000,19.0000,24.3000,16.2000,2020-10-29,31867.5100,14.0000,9.2941,105.7278
